id_municipio,sigla_uf,nome,ice1,ice2,ice3,ice,ice_final
4209102,SC,Joinville,1.003,-0.823,0.317,0.496,6.288
3205309,ES,Vitoria,1.325,-0.156,-0.693,0.477,6.277
2408102,RN,Natal,0.127,0.237,0.1,0.464,6.269
3118601,MG,Contagem,-0.008,-0.22,0.435,0.208,6.121
3301702,RJ,Duque De Caxias,-0.554,-0.253,0.995,0.188,6.109
2504009,PB,Campina Grande,0.127,0.854,-0.872,0.108,6.063
3170206,MG,Uberlandia,0.368,-0.452,0.164,0.08,6.047
1400100,RR,Boa Vista,-0.869,0.307,0.638,0.077,6.044
4113700,PR,Londrina,0.68,-0.111,-0.575,-0.005,5.997
1302603,AM,Manaus,0.03,-1.005,0.967,-0.008,5.995
4305108,RS,Caxias Do Sul,0.728,-0.493,-0.262,-0.027,5.984
4314407,RS,Pelotas,-0.09,0.23,-0.224,-0.083,5.952
2303709,CE,Caucaia,-1.576,1.02,0.472,-0.085,5.951
3205002,ES,Serra,-0.434,-0.087,0.396,-0.124,5.928
4125506,PR,Sao Jose Dos Pinhais,0.001,-0.431,0.258,-0.171,5.901
2408003,RN,Mossoro,-0.737,0.472,0.03,-0.235,5.864
3526902,SP,Limeira,0.372,0.607,-1.321,-0.342,5.802
4316907,RS,Santa Maria,0.466,0.102,-0.913,-0.345,5.8
5201405,GO,Aparecida De Goiania,-0.667,0.228,0.079,-0.36,5.791
3303906,RJ,Petropolis,-0.712,0.786,-0.481,-0.406,5.764
3136702,MG,Juiz De Fora,0.02,1.183,-1.629,-0.425,5.753
3548500,SP,Santos,0.717,-0.693,-0.497,-0.473,5.725
1200401,AC,Rio Branco,-0.755,0.843,-0.604,-0.516,5.701
3305109,RJ,Sao Joao De Meriti,-1.307,0.973,-0.265,-0.599,5.652
2910800,BA,Feira De Santana,-0.794,-0.181,0.367,-0.608,5.647
3300456,RJ,Belford Roxo,-1.75,-0.439,1.532,-0.657,5.619
1600303,AP,Macapa,-1.085,0.281,0.019,-0.785,5.545
3170107,MG,Uberaba,-0.236,0.288,-0.85,-0.798,5.537
4309209,RS,Gravatai,-0.463,0.109,-0.49,-0.844,5.51
1721000,TO,Palmas,0.024,-0.195,-0.707,-0.878,5.49
4119905,PR,Ponta Grossa,-0.267,-0.147,-0.504,-0.918,5.467
3549805,SP,Sao Jose Do Rio Preto,0.131,-0.334,-0.716,-0.92,5.466
2611101,PE,Petrolina,-0.878,1.944,-2.019,-0.953,5.447
3106705,MG,Betim,-0.345,-0.23,-0.381,-0.956,5.445
3529401,SP,Maua,-0.473,-0.486,-0.135,-1.094,5.365
2905701,BA,Camacari,-0.481,-0.818,0.192,-1.106,5.358
3301009,RJ,Campos Dos Goytacazes,-0.755,0.165,-0.634,-1.224,5.29
3304904,RJ,Sao Goncalo,-0.907,-1.227,0.91,-1.225,5.289
4115200,PR,Maringa,0.538,-0.027,-1.765,-1.254,5.272
4202404,SC,Blumenau,0.207,-0.789,-0.706,-1.287,5.253
3143302,MG,Montes Claros,-0.639,0.382,-1.043,-1.3,5.246
5201108,GO,Anapolis,-0.421,-0.15,-0.775,-1.346,5.219
3518800,SP,Guarulhos,-0.306,-0.526,-0.552,-1.384,5.197
3510609,SP,Carapicuiba,-0.684,-0.625,-0.077,-1.386,5.196
4104808,PR,Cascavel,0.077,-0.814,-0.689,-1.426,5.172
3530607,SP,Mogi Das Cruzes,-0.125,-0.438,-0.921,-1.484,5.139
1504208,PA,Maraba,-1.236,-0.439,0.172,-1.504,5.127
1500800,PA,Ananindeua,-1.12,-0.199,-0.287,-1.606,5.068
3552403,SP,Sumare,-0.637,-1.258,0.169,-1.726,4.999
3538709,SP,Piracicaba,0.653,-1.077,-1.319,-1.743,4.988
3516200,SP,Franca,-0.201,0.27,-1.874,-1.804,4.953
3154606,MG,Ribeirao Das Neves,-1.631,-0.555,0.289,-1.898,4.899
2604106,PE,Caruaru,-1.111,-0.687,-0.395,-2.193,4.728
3541000,SP,Praia Grande,-0.87,0.464,-1.801,-2.207,4.719
3201308,ES,Cariacica,-0.945,-0.389,-0.904,-2.237,4.702
3523107,SP,Itaquaquecetuba,-0.955,-1.88,0.418,-2.417,4.597
3552809,SP,Taboao Da Serra,-0.088,-1.343,-1.102,-2.532,4.531
3552502,SP,Suzano,-0.345,-0.766,-1.423,-2.534,4.53
1506807,PA,Santarem,-1.093,-0.663,-0.796,-2.552,4.519
3554102,SP,Taubate,-0.074,-1.174,-1.344,-2.593,4.496
2610707,PE,Paulista,-1.274,-1.344,-0.095,-2.713,4.426
3551009,SP,Sao Vicente,-1.013,-1.511,-0.457,-2.981,4.27
2933307,BA,Vitoria Da Conquista,-0.919,-0.851,-1.593,-3.363,4.049
3518701,SP,Guaruja,-1.066,-1.233,-1.293,-3.592,3.916
