Exercício: 2020
Escopo: Estados/DF
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços";24904226627,87
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.1.8.02.1.0 Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação";23919488925,08
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.1.8.02.2.0 Adicional ICMS - Fundo Estadual de Combate à Pobreza";984737702,79
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.0.00.0.0 - Taxas";1265662760,3
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia";12101379,93
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental";12101379,93
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios";1253561380,37
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização";763039577,93
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.01.1.0 - Taxa de Fiscalização de Vigilância Sanitária";23679149,22
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras";739360428,71
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.02.0.0 - Taxas pela Prestação de Serviços";490521802,44
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.02.1.0 - Taxas Judiciais";225103256,77
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.02.2.0 - Taxas Extrajudiciais";204343410,84
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.1.2.8.02.9.0 - Taxas pela Prestação de Serviços - Outras";61075134,83
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.0.0.00.0.0 - Contribuições";3224329946,9
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.0.00.0.0 - Contribuições Sociais";3224329946,9
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.00.0.0 - Contribuição para Fundos de Assistência Médica";1300939596,66
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.01.0.0 - Contribuição para Fundos de Assistência Médica - Policiais Militares";297824579,99
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.01.1.0 - Contribuição para Fundos de Assistência Médica - Policiais Militares";297824579,99
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.02.0.0 - Contribuição para Fundos de Assistência Médica - Bombeiros Militares";10963906,7
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.02.1.0 - Contribuição para Fundos de Assistência Médica - Bombeiros Militares";10963906,7
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.03.0.0 - Contribuição para Fundos de Assistência Médica - Servidores Civis";967911463,55
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.03.1.0 - Contribuição para Fundos de Assistência Médica - Servidores Civis";967911463,55
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.04.0.0 - Contribuição para Fundos de Assistência Médica - Outros Beneficiários";24239646,42
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.6.04.1.0 - Contribuição para Fundos de Assistência Médica - Outros Beneficiários";24239646,42
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios";1923390350,24
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.01.0.0 - Contribuição do Servidor Civil para o Plano de Seguridade Social - CPSSS - Específico de EST/DF/MUN";1471104292,83
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.01.1.0 - CPSSS do Servidor Civil Ativo";1130886423,46
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.01.2.0 - CPSSS do Servidor Civil Inativo";299468399,15
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.01.3.0 - CPSSS do Servidor Civil - Pensionistas";40749470,22
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.05.0.0 - Contribuição dos Militares e Pensionistas para Previdência Militar de Estados e DF";452286057,41
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.05.1.0 - Contribuição do Militar Ativo";268512285,73
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.05.2.0 - Contribuição do Militar Inativo";157164966,91
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.2.1.8.05.3.0 - Contribuição dos Pensionistas Militares";26608804,77
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.0.0.00.0.0 - Receita Patrimonial";244905567,16
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.1.0.00.0.0 - Exploração do Patrimônio Imobiliário do Estado";57457595,6
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.1.0.01.0.0 - Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação";41882476,07
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.1.0.01.1.0 - Aluguéis e Arrendamentos";41882476,07
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.1.0.02.0.0 - Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos";15575119,53
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.2.0.00.0.0 - Valores Mobiliários";132703483,78
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.2.1.00.0.0 - Juros e Correções Monetárias";103327066,55
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários";101992749,71
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS";1334316,84
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.2.2.00.0.0 - Dividendos";29376417,23
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.4.0.00.0.0 - Exploração de Recursos Naturais";3753686,08
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.4.5.00.0.0 - Exploração de Recursos Hídricos";3753686,08
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.4.5.01.0.0 - Outorga de Direitos de Uso de Recursos Hídricos";3753686,08
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.6.0.00.0.0 - Cessão de Direitos";50974201,35
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.3.9.0.00.0.0 - Demais Receitas Patrimoniais";16600,35
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.4.0.0.00.0.0 - Receita Agropecuária";349725,56
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.0.0.00.0.0 - Receita de Serviços";142827402,1
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.1.0.00.0.0 - Serviços Administrativos e Comerciais Gerais";90437339,13
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.1.0.01.0.0 - Serviços Administrativos e Comerciais Gerais";25276299,78
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.1.0.02.0.0 - Inscrição em Concursos e Processos Seletivos";1135223,6
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.1.0.03.0.0 - Serviços de Registro, Certificação e Fiscalização";62737093,8
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.1.0.04.0.0 - Serviços de Informação e Tecnologia";1288721,95
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.2.0.00.0.0 - Serviços e Atividades Referentes à Navegação e ao Transporte";1011777,5
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.2.0.02.0.0 - Serviços de Transporte";1011777,5
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.3.0.00.0.0 - Serviços e Atividades Referentes à Saúde";1520844,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.3.8.00.0.0 - Serviços e Atividades Referentes à Saúde - Específico para Estados/DF/Municípios";1520844,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.3.8.01.0.0 - Serviços de Saúde - Específico para Estados/DF/Municípios";1520844,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.3.8.01.9.0 - Outros Serviços de Saúde";1520844,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.4.0.00.0.0 - Serviços e Atividades Financeiras";37283982,94
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.4.0.01.0.0 - Retorno de Operações, Juros e Encargos Financeiros";37283982,94
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.9.0.00.0.0 - Outros Serviços";12573457,92
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.6.9.0.99.0.0 - Outros Serviços";12573457,92
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.0.0.00.0.0 - Transferências Correntes";17667249573,21
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.0.00.0.0 - Transferências da União e de suas Entidades";15198845160,59
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios";15198845160,59
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.01.0.0 Participação na Receita da União";8961178881,9
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.01.1.0 Cota-Parte do Fundo de Participação dos Estados e do Distrito Federal";8684644260,12
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.01.6.0 Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos Industrializados";232690403,62
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.01.7.0 Cota-Parte da Contribuição de Intervenção no Domínio Econômico";43844218,16
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.02.0.0 Transferência da Compensação Financeira pela Exploração de Recursos Naturais";217496164,85
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.02.1.0 Cota-parte da Compensação Financeira de Recursos Hídricos";18891837,33
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.02.2.0 Cota-parte da Compensação Financeira de Recursos Minerais - CFEM";20704191,97
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.02.3.0 Cota-parte Royalties ¿ Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89";142725679,76
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.02.6.0 Cota-Parte do Fundo Especial do Petróleo ¿ FEP";35174455,79
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.0.0 Transferência de Recursos do Sistema Único de Saúde ¿ 
 SUS ¿ Bloco Custeio das Ações e Serviços Públicos de Saúde";2236440274,02
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.1.0 - Transferência de Recursos do SUS ¿ Atenção Básica";5132483,62
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.2.0 - Transferência de Recursos do SUS ¿ Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar";1560473870,16
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.3.0 - Transferência de Recursos do SUS ¿ Vigilância em Saúde";38068017,22
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.4.0 - Transferência de Recursos do SUS ¿ Assistência Farmacêutica";24028929,23
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.5.0 - Transferência de Recursos do SUS ¿ Gestão do SUS";929700,00
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.03.9.0 - Transferência de Recursos do SUS ¿ Outros Programas Financiados por Transferências Fundo a Fundo";607807273,79
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.05.0.0 Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE";160327710,89
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.05.1.0 Transferências do Salário-Educação";86523809,04
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.05.2.0 Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola ¿ PDDE";3600,00
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.05.3.0 Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar ¿ PNAE";71851915,8
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.05.9.0 Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE";1948386,05
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.09.0.0 - Transferências de Recursos de Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação ¿ FUNDEB";735574217,14
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.10.0.0 Transferências de Convênios da União e de Suas Entidades";61810479,66
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.10.1.0 Transferências de Convênios da União para o Sistema Único de Saúde ¿ SUS";342361,59
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.10.2.0 Transferências de Convênios da União Destinadas a Programas de Educação";1859451,95
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.10.9.0 Outras Transferências de Convênios da União";59608666,12
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.11.0.0 Outras Transferências de Recursos Fundo a Fundo";7979250,42
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.12.0.0 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS";4217354,22
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.1.8.99.0.0 Outras Transferências da União";2813820827,49
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.3.0.00.0.0 - Transferências dos Municípios e de suas Entidades";201879,3
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.3.8.00.0.0 Transferências dos Municípios -Específicas de Estados, DF e Municípios";201879,3
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.3.8.10.0.0 Transferência de Convênios dos Municípios e de Suas Entidades";201879,3
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.3.8.10.9.0 Outras Transferências de Convênios dos Municípios";201879,3
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.4.0.00.0.0 - Transferências de Instituições Privadas";14643882,05
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.4.8.00.0.0 Transferências de Instituições Privadas - Específicas de Estados, DF e Municípios";14643882,05
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.4.8.01.0.0 - Transferência de Convênios de Instituições Privadas para EST/DF/MUN";14643882,05
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.5.0.00.0.0 - Transferências de Outras Instituições Públicas";2453208134,97
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.5.8.00.0.0 Transferências de Outras Instituições Públicas - Específicas de Estados, DF e Municípios";2453208134,97
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.5.8.01.0.0 Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação ¿ FUNDEB";2453208134,97
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.6.0.00.0.0 - Transferências do Exterior";61235,38
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.6.8.00.0.0 Transferências do Exterior - Específicas de Estados, DF e Municípios";61235,38
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.6.8.01.0.0 - Transferência de Convênios do Exterior";61235,38
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.6.8.01.9.0 - Outras Transferência de Convênios do Exterior - Não Especificadas Anteriormente";61235,38
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.7.0.00.0.0 - Transferências de Pessoas Físicas";289280,92
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.7.8.00.0.0 - Transferências de Pessoas Físicas - Específicas de Estados, DF e Municípios";289280,92
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.7.8.01.0.0 - Transferências de Pessoas Físicas - Específicas de E/DF/M";289280,92
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.7.7.8.01.9.0 - Outras Transferência de Pessoas Físicas- Específicas de E/DF/M - Não Especificadas Anteriormente";289280,92
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.0.0.00.0.0 - Outras Receitas Correntes";1007267867,93
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.1.0.00.0.0 - Multas Administrativas, Contratuais e Judiciais";191285014,97
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.1.0.01.0.0 - Multas Previstas em Legislação Específica";180737970,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.1.0.06.0.0 - Multas por Danos Ambientais";2945560,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.1.0.06.1.0 - Multas Administrativas por Danos Ambientais";2945560,61
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.1.0.07.0.0 - Multas Aplicadas pelos Tribunais de Contas";135640,77
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.1.0.09.0.0 - Multas e Juros Previstos em Contratos";7465842,98
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.0.00.0.0 - Indenizações, Restituições e Ressarcimentos";189134334,16
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.1.00.0.0 - Indenizações";39597,94
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.1.01.0.0 - Indenizações por Danos Causados ao Patrimônio Público";14630,45
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.1.99.0.0 - Outras Indenizações";24967,49
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.2.00.0.0 - Restituições";87304951,16
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.2.01.0.0 - Restituição de Convênios";9643734,98
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.2.03.0.0 - Restituição de Benefícios Previdenciários";3661216,18
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.2.08.0.0 - Restituição de Garantias Prestadas";74000000,00
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.8.00.0.0 - Indenizações, Restituições e Ressarcimentos - Específicas para Estados/DF/Municípios";101789785,06
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.8.02.0.0 - Restituições - Específicas para Estados/DF/Municípios";101789785,06
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.8.02.1.0 - Restituições de Recursos Recebidos do SUS - Específicas para Estados/DF/Municípios";1530343,95
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.2.8.02.9.0 - Outras Restituições - Específicas para Estados/DF/Municípios - Não Especificadas Anteriormente";100259441,11
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.3.0.00.0.0 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";6488039,07
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.3.0.05.0.0 - Receitas Reconhecidas por Força de Decisões Judiciais e de Tribunais Administrativos";6488039,07
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.00.0.0 - Demais Receitas Correntes";620360479,73
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.03.0.0 - Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores";349828102,48
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.11.0.0 - Variação Cambial";8197,88
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.12.0.0 - Encargos Legais pela Inscrição em Dívida Ativa e Receitas de Ônus de Sucumbência";7932210,11
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.12.2.0 - Ônus de Sucumbência";7932210,11
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.99.0.0 - Outras Receitas";262591969,26
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"1.9.9.0.99.1.0 - Outras Receitas - Primárias";262591969,26
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.0.0.0.00.0.0 - Receitas de Capital";1803252752,77
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.0.0.00.0.0 - Operações de Crédito";821495884,16
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.1.0.00.0.0 - Operações de Crédito - Mercado Interno";359739849,06
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.1.8.00.0.0 Operações de Crédito - Mercado Interno - Estados/DF/Municípios";55235601,51
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.1.8.01.0.0 - Operações de Crédito Internas de Estados/DF/Municípios";55235601,51
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.1.8.01.3.0 - Operações de Crédito Internas para Programas de Saneamento";40709124,42
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.1.8.01.7.0 - Operações de Crédito Internas para Programas de Moradia Popular";14526477,09
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.1.9.00.0.0 Outras Operações de Crédito - Mercado Interno";304504247,55
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.2.0.00.0.0 - Operações de Crédito - Mercado Externo";461756035,1
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.2.8.00.0.0 Operação de Crédito Externas - Estados/DF/Municípios";170955000,00
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.2.8.01.0.0 - Operações de Crédito Externas - Estados/DF/ Municípios";170955000,00
Governo do Estado da Bahia;29;BA;14873064;"Receitas Brutas Realizadas";"2.1.2.8.01.2.0 - Operações de Crédito Externas para Programas de Saúde";170955000,00
